Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
Okane,Japanese,SoMa (S.F.),Delivery & Takeout,No,669 Townsend St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. Tuesday-Sunday,415-865-9788,www.okanesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Old Jerusalem,Middle Eastern,Mission (S.F.),Delivery & Takeout,No,2966 Mission St.,San Francisco,N/A,San Francisco,12-9:45 p.m. Monday-Saturday; 12-8:45 p.m. Sunday,415-642-5958,www.oldjerusalem.mobile-webview1.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Old Mandarian Islamic Restaurant,"Chinese, Halal",Outer Sunset (S.F.),Takeout,No,3132 Vicente St.,San Francisco,N/A,San Francisco,11:30 a.m.-9:30 p.m. daily,415-564-3481,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Old Weang Ping,Thai,Oakland,Takeout,No,6217 MacArthur Blvd.,Oakland,N/A,East Bay,"Noon-3 p.m., 5-9 p.m. Monday-Friday; 5-9 p.m. Saturday",510-430-8771,www.yelp.com/biz/old-weang-ping-village-oakland,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oliveto,Italian,Rockridge (Oak),Takeout,No,5655 College Ave.,Oakland,N/A,East Bay,11:30 a.m.-9 p.m. daily,510-547-5356,www.oliveto.com,Call to order; select pick-up time.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Om Indian,Indian,Haight-Ashbury (S.F.),Takeout,No,1668 Haight St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. daily,415-525-3705,www.omindiancuisinesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
One House Bakery,"Bakery, Sandwiches",Benicia,Takeout,Yes,918 1st St.,Benicia,N/A,North Bay,7 a.m.-6 p.m. daily,707-361-5919,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
One65,"French, Bakery",Union Square (S.F.),Delivery & Takeout,Yes,165 O'Farrell St.,San Francisco,N/A,San Francisco,10 a.m.-7:30 p.m. daily,415-814-8888,www.one65sf.com/message/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oren's Hummus,Israeli,Cupertino,Delivery & Takeout,No,19419 Stevens Creek Blvd. Ste. 100,Cupertino,N/A,South Bay,Lunch and dinner daily,408-982-5237,www.orenshummus.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oren's Hummus,Israeli,Mountain View,Delivery & Takeout,No,126 Castro St.,Mountain View,N/A,Peninsula,Lunch and dinner daily,650-938-6736,www.orenshummus.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oren's Hummus,Israeli,Palo Alto,Delivery & Takeout,No,261 University Ave.,Palo Alto,N/A,Peninsula,Lunch and dinner daily,650-752-6492,www.orenshummus.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oren's Hummus,Israeli,Palo Alto,Delivery & Takeout,No,855 El Camino Real #162,Palo Alto,N/A,Peninsula,Lunch and dinner daily,650-563-6736,www.orenshummus.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oren's Hummus,Israeli,SoMa (S.F.),Delivery & Takeout,No,71 3rd St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-915-6736,www.orenshummus.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Orenchi Ramen,Japanese,Redwood City,Takeout,No,2432 Broadway,Redwood City,N/A,Peninsula,11 a.m.-8:30 p.m. daily,650-537-9494,www.orenchi-rc.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Original Joe's Westlake,American,Daly City,Takeout,No,11 Glenwood Ave.,Daly City,N/A,Peninsula,11 a.m.-9 p.m. daily,650-755-7400,www.originaljoes.com/westlake/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Original Pattern Brewing,Brewery,Jack London (Oak),Delivery & Takeout,No,292 4th St.,Oakland,N/A,East Bay,9 a.m.-5 p.m. Monday-Friday,510-844-4833,www.originalpatternbeer.com/,Order online or by phone.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Outerlands,American,Sunset (S.F.),Takeout,No,4001 Judah St.,San Francisco,N/A,San Francisco,10 a.m.-6 p.m. daily,415-661-6140,www.instagram.com/outerlands/,Bread to-go only.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ox & Tiger,"Japanese, Filipino",SoMa (S.F.),Takeout,No,167 11th St.,San Francisco,N/A,San Francisco,5-9 p.m. Monday-Wednesday,415-992-3827,www.oxandtiger.co/menu,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ozumo,Sushi,San Jose,Takeout,No,355 Santana Row,San Jose,N/A,South Bay,3:30-9 p.m. daily,408-886-3090,www.ozumosantanarow.com/menus/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
P.F. Chang's China Bistro,Pan-Asian,Palo Alto,Delivery & Takeout,No,660 Stanford Shopping Center,Palo Alto,N/A,Peninsula,11 a.m.-9 p.m. daily,650-330-1782,www.pfchangs.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pa'ina Restaurant and Lounge,Hawaiian,Pacific Heights (S.F.),Delivery & Takeout,Yes,1865 Post St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-829-2642,www.painasf.com,Call for pick-up or look online for delivery options.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pakwan,"Pakistani, Indian, Halal",Mission Dolores (S.F.),Delivery & Takeout,No,3182 16th St.,San Francisco,N/A,San Francisco,11 a.m.-11 p.m. daily,415-255-2440,www.pakwanrestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pakwan,"Pakistani, Indian, Halal",Tenderloin (S.F.),Delivery & Takeout,No,501 O’Farrell St.,San Francisco,N/A,San Francisco,11 a.m.-11 p.m. Monday-Thursday; 11:30 a.m.-11:30 p.m. Friday-Sunday,415-776-0160,www.pakwanrestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pakwan,"Pakistani, Indian, Halal",West of Twin Peaks (S.F.),Delivery & Takeout,No,1140 Ocean Ave.,San Francisco,N/A,San Francisco,10:30 a.m.-10 p.m. Monday-Friday; 11 a.m.-10 p.m. Saturday and Sunday,415-841-8400,www.pakwanrestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pakwan,"Pakistani, Indian, Halal",Fremont,Takeout,No,41068 Fremont Blvd.,Fremont,N/A,East Bay,Lunch and dinner Tuesday-Sunday,510-226-6234,www.pakwanrestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pakwan,"Pakistani, Indian, Halal",Hayward,Delivery & Takeout,No,25168 Mission Blvd.,Hayward,N/A,East Bay,Lunch and dinner Wednesday-Monday,510-538-2401,www.pakwanrestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Palio,Italian,Financial District (S.F.),Delivery & Takeout,No,640 Sacramento St.,San Francisco,N/A,San Francisco,11:30 a.m.-6 p.m. Monday-Friday,415-395-9800,www.paliosf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Palm House,Caribbean,Cow Hollow (S.F.),Delivery & Takeout,No,"2032 Union St. San Francisco CA, 94123",San Francisco,N/A,San Francisco,11:30 a.m.-8:30 p.m. daily,415-400-4355,www.palmhousesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pampanguena Cuisine,Filipino,Excelsior,Takeout,No,4441 Mission St.,San Francisco,N/A,San Francisco,Check site for hours,415-586-8899,www.pampanguenacuisine.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pan Coast Pizza,Pizza,Walnut Creek,Delivery & Takeout,No,S. Main St.,Walnut Creek,N/A,East Bay,Lunch and dinner daily,925-954-1178,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Panda Express,Chinese,SoMa (S.F.),Delivery & Takeout,No,865 Market St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. Monday-Sunday,415-292-9993,www.pandaexpress.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Paper Moon Coffee Company,American,Santa Clara,Delivery & Takeout,No,5237 Stevens Creek Blvd.,Santa Clara,N/A,South Bay,8 a.m.-2 p.m. daily,408-691-2304,www.papermoon.cafe,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Papito,Mexican,Potrero Hill (S.F.),Takeout,No,317 Connecticut St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-695-0147,www.papitosf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pappo,American,Alameda,Delivery & Takeout,No,2320 Central Ave.,Alameda,N/A,East Bay,5:30-9 p.m. daily,510-337-9100,www.papporestaurant.com,"$5 charge for delivery in Alameda, $6 elsewhere.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Paprika,Eastern European,Mission (S.F.),Delivery & Takeout,No,3324 24th St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-375-1477,www.paprikasf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Paradiso,Mediterranean,San Leandro,Takeout,Yes,685 Bancroft Ave.,San Leandro,N/A,East Bay,Noon-8 p.m. daily,510-430-9310,www.paradisosanleandro.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Park Station Hashery,American,San Jose,Delivery & Takeout,Yes,1701 Park Ave.,San Jose,N/A,South Bay,8 a.m.-10 p.m. Monday-Saturday; 8 a.m.-9 p.m. Sunday,408-320-1711,www.parkstationhashery.com/,Limited menu; $2 service charge.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Parker Potrero,American,Potrero Hill (S.F.),Takeout,No,1399 18th St.,San Francisco,N/A,San Francisco,9 a.m.-2 p.m. daily,415-829-3796,www.parkerpotrero.com/online-ordering,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Parktown Pizza,"Pizza, Indian",Milpitas,Delivery & Takeout,Yes,1350 S Park Victoria Dr.,Milpitas,N/A,South Bay,11 a.m.-10 p.m. daily,408-263-2131,www.parktownpizza.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Parranga,Mexican,Mill Valley,Delivery & Takeout,No,800 Redwood Highway Suite 801,Mill Valley,N/A,North Bay,Lunch and dinner daily,415-569-5009,www.parranga.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Party Sushi,Japanese,Berkeley,Takeout,No,1776 Shattuck Ave.,Berkeley,N/A,East Bay,5-10 p.m. Tuesday-Sunday,510-841-1776,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pasta Bene,Italian,Berkeley,Delivery & Takeout,No,2565 Telegraph Ave.,Berkeley,N/A,East Bay,11 a.m.-10 p.m. daily,510-845-2363,www.pastabenebk.com,Pick-up specials: 20% off all orders for hospital and medical workers (valid ID required at time of pick-up). Catering platters included.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pasta Moon,Italian,Half Moon Bay,Takeout,No,845 Main St.,Half Moon Bay,N/A,Peninsula,5 p.m.-8 p.m. daily,650-726-5125,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pâtisserie Rotha,Bakery,Albany,Takeout,No,1051 San Pablo Ave.,Albany,N/A,East Bay,"7:30-11 a.m. Thursday-Friday, 8-11 a.m. Saturday and Sunday",510-386-4439,www.patisserierotha.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,Dublin,Delivery & Takeout,No,5130 Dublin Blvd.,Dublin,N/A,East Bay,Noon-8 p.m. daily,925-248-2750,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,Lafayette,Delivery & Takeout,No,3577 Mt. Diablo Blvd.,Lafayette,N/A,East Bay,Noon-8 p.m. daily,925-299-0700,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,Livermore,Delivery & Takeout,No,2470 1st St.,Livermore,N/A,East Bay,Noon-8 p.m. daily,925-371-1000,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,Campbell,Delivery & Takeout,No,1875 S. Bascom Ave. #405,Campbell,N/A,South Bay,Noon-8 p.m. daily,408-559-0700,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,Palo Alto,Delivery & Takeout,No,441 Emerson St.,Palo Alto,N/A,Peninsula,Noon-8 p.m. daily,650-473-9999,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,San Carlos,Delivery & Takeout,No,677 Laurel St. Ste. B,San Carlos,N/A,Peninsula,Noon-8 p.m. daily,650-832-1112,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,San Jose,Delivery & Takeout,No,3350 Zanker Rd. #30,San Jose,N/A,South Bay,Noon-8 p.m. daily,408-526-1999,www.patxispizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Patxi's Pizza,Pizza,Inner Sunset (S.F.),Delivery & Takeout,Yes,822 Irving St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-759-9000,www.patxispizza.com,Cashless.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Paulista Brazilian,Brazilian,Crocker Highlands (Oak),Takeout,No,4239 Park Blvd.,Oakland,N/A,East Bay,8 a.m.-10 p.m. daily,510-866-2133,www.paulista510.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pazzo,"Italian, Pizza",San Carlos,Takeout,No,1179 Laurel St.,San Carlos,N/A,Peninsula,5-9 p.m. daily,650-591-1075,www.pazzo.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Peacock's Koriander Indian Cuisine,Indian,Belmont,Delivery & Takeout,Yes,520 Masonic Way,Belmont,N/A,Peninsula,"11:30 a.m.-2:30 p.m., 5:30-9:30 p.m. daily",650-727-9400,www.koriander.us,No contact pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Peasant Pies,Bakery,Sunset (S.F.),Delivery & Takeout,No,1039 Irving St.,San Francisco,N/A,San Francisco,8 a.m.-4 p.m. daily,415-812-8174,www.peasantpies.com,Free delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pedro's Restaurant and Cantina,Mexican,Santa Clara,Delivery & Takeout,No,3935 Freedom Circle,Santa Clara,N/A,South Bay,11 a.m.-8 p.m. daily,408-496-6777,www.pedrosrestaurants.com,Call in advance for delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Peking Restaurant,Chinese,Sunset (S.F.),Delivery & Takeout,No,1375 Noriega St.,San Francisco,N/A,San Francisco,"11:30 a.m.-3 p.m., 4:30-9:30 p.m. Monday-Thursday; 11:30 a.m.-3 p.m., 4:30-10 p.m. Friday-Sunday",415-665-2199,www.pekingsf.com,Delivery offered after 5 p.m. but takeout available all day.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Peña Pachamama,Bolivian,North Beach (S.F.),Delivery & Takeout,Yes,1630 Powell St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-646-0018,www.pachamamacenter.org/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Peony Garden,Chinese,Walnut Creek,Takeout,No,1448 South Main St.,Walnut Creek,N/A,East Bay,"11 a.m.-3 p.m., 4:30-9:30 p.m. daily",925-930-8088,www.peonygardenrestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Perbacco Restaurant,Italian,Financial District (S.F.),Takeout,Yes,230 California St.,San Francisco,N/A,San Francisco,"11 a.m.-1 p.m., 4:30-6:30 p.m. Monday-Friday",415-955-0663,www.perbaccosf.com/menus/,Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Perry Lang's,American,Yountville,Takeout,No,6539 Washington St.,Yountville,N/A,North Bay,5-9:30 p.m. daily,707-945-4522,www.perrylangs.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Peter's Kettle Corn,Popcorn,Oakland,Takeout,No,4139 MacArthur Blvd.,Oakland,N/A,East Bay,Noon-6 p.m. Tuesday-Saturday; Noon-4 p.m. Sunday,510-612-1163,www.peterskettlecorn.com/,Online ordering available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Phat Matt's BBQ,American,Oakland,Delivery & Takeout,No,3415 Telegraph Ave.,Oakland,N/A,East Bay,11 a.m.-3 p.m. daily,510-879-7294,www.phatmattsbbq.com,Call to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pho Ha Noi,Vietnamese,San Jose,Delivery & Takeout,Yes,"969 Story Road, Ste. 6048",San Jose,N/A,South Bay,9 a.m.-8 p.m. Thursday-Tuesday,408-239-0888,www.phohanoi.org,25% off all pho bowls.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pho Ha Noi,Vietnamese,Cupertino,Delivery & Takeout,Yes,10100 South De Anza Blvd.,Cupertino,N/A,Peninsula,10:30 a.m.-2 p.m. 4:30-8 p.m. Thursday-Tuesday,408-899-4164,www.phohanoi.org,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pho Play,Vietnamese,Castro Valley,Takeout,No,3835 East Castro Valley Blvd.,Castro Valley,N/A,East Bay,11 a.m.-9 p.m. Monday-Friday,510-940-8281,www.phoplayca.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pi Bar,Italian,Mission (S.F.),Takeout,No,1432 Valencia St.,San Francisco,N/A,San Francisco,4-8 p.m. Wednesday-Sunday,415-970-9670,www.pibarsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Piazza Pellegrini,Italian,North Beach (S.F.),Delivery & Takeout,Yes,659 Columbus Ave.,San Francisco,N/A,San Francisco,Noon-6 p.m. daily,415-397-7355,www.piazzapellegrini.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Picco Pizzeria,Pizza,Larkspur,Delivery & Takeout,No,316 Magnolia Ave.,Larkspur,N/A,North Bay,5-8 p.m. Monday-Friday; Noon-8 p.m. Saturday and Sunday,415-924-0300,www.pizzeriapicco.com/,For delivery call 415-927-9007 or order online.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Piccolo Forno,"Italian, Pizza",Telegraph Hill (S.F.),Delivery & Takeout,No,725 Columbus Ave.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. Wednesday-Monday,415-516-1363,www.piccolo-forno.com/,Postmates or call to order,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pier 23 Cafe,Seafood,Embarcadero (S.F.),Delivery & Takeout,Yes,Pier 23 The Embarcadero,San Francisco,N/A,San Francisco,Noon-5 p.m. Saturday and Sunday,415-362-5125,www.pier23cafe.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pier 23 Cafe Restaurant & Bar,Seafood,Embarcadero (S.F.),Takeout,No,Pier 23,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-362-5125,www.pier23cafe.com,Order by phone.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizza Express,Pizza,Bernal Heights (S.F.),Delivery & Takeout,No,813 Cortland Ave.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. daily,415-282-2333,www.pizzaexpresssf.com,Delivery within 1.5 miles,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizza Joint,"Pizza, Sandwiches",Outer Richmond (S.F.),Delivery & Takeout,"Delivery, Yes",3088 Balboa St.,San Francisco,N/A,San Francisco,3-10 p.m. daily,415-387-4992,www.orderpizzajointmenu.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizza Place on Noriega,"Italian, Pizza",Outer Sunset (S.F.),Delivery & Takeout,Yes,3901 Noriega St.,San Francisco,N/A,San Francisco,Noon-10 p.m. Sunday and Monday; 5-9 p.m. Wednesday and Thursday; noon-9 p.m. Friday and Saturday,415-759-5752,www.pizzaplacesf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizzahacker,Pizza,Bernal Heights (S.F.),Takeout,No,3299 Mission St.,San Francisco,N/A,San Francisco,5-10 p.m. Tuesday-Sunday,415-874-5585,www.thepizzahacker.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizzalina,Italian,San Anselmo,Delivery & Takeout,Yes,914 Sir Francis Drake Blvd.,San Anselmo,N/A,North Bay,Noon-8 p.m. Monday-Sunday,415-256-9780,www.pizzalina.com,call or order online,https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizzeria Delfina,"Italian, Pizza",Burlingame,Delivery & Takeout,No,1444 Burlingame Ave.,Burlingame,N/A,Peninsula,5-9 p.m. Monday-Sunday,650-288-1041,www.pizzeriadelfina.com/burlingame/,"Regular menu, catering menu and special \'Family Meal\' packages available via pick-up or deliver. Links to order on website.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizzeria Delfina,"Italian, Pizza",Mission (S.F.),Delivery & Takeout,No,3611 18th St.,San Francisco,N/A,San Francisco,5-9 p.m. daily,415-437-6800,www.pizzeriadelfina.com/mission/,"Regular menu, catering menu and special \'Family Meal\' packages available via pick-up or deliver. Links to order on website.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizzeria Delfina,"Italian, Pizza",Pacific Heights (S.F.),Delivery & Takeout,No,2406 California St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-440-1189,www.pizzeriadelfina.com/pacific-heights/,"Regular menu, catering menu and special \'Family Meal\' packages available via pick-up or deliver. Links to order on website.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Pizzeria Delfina,"Italian, Pizza",Palo Alto,Delivery & Takeout,No,651 Emerson St.,Palo Alto,N/A,Peninsula,Noon-9 p.m. daily,650-353-2208,www.pizzeriadelfina.com/paloalto/,"Regular menu, catering menu and special \'Family Meal\' packages available via pick-up or deliver. Links to order on website.",https://projects.sfchronicle.com/2020/restaurant-delivery/
